Trial 0 finished with value: 1.0179308652877808 and parameters: {'learning_rate': 1.3124649863747118e-05, 'lr_scheduler': 'linear', 'lora_r': 8, 'lora_alpha': 8, 'lora_dropout': 0.052058449429580246, 'batch_size': 4, 'warmup_ratio': 0.051818996064852074}. Best is trial 0 with value: 1.0179308652877808.
Trial 1 finished with value: 1.133636713027954 and parameters: {'learning_rate': 1.019459342774817e-05, 'lr_scheduler': 'cosine', 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.12851759613930136, 'batch_size': 16, 'warmup_ratio': 0.035574049526399726}. Best is trial 0 with value: 1.0179308652877808.
Trial 2 finished with value: 1.1340324878692627 and parameters: {'learning_rate': 1.7858284134411106e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.06220382348447789, 'batch_size': 16, 'warmup_ratio': 0.06105359779200203}. Best is trial 0 with value: 1.0179308652877808.
Trial 3 finished with value: 1.1094290018081665 and parameters: {'learning_rate': 1.920430053485884e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 16, 'lora_alpha': 8, 'lora_dropout': 0.14218742350231167, 'batch_size': 8, 'warmup_ratio': 0.06903963969159171}. Best is trial 0 with value: 1.0179308652877808.
 Trial 4 finished with value: 1.1006072759628296 and parameters: {'learning_rate': 1.3372201258639933e-05, 'lr_scheduler': 'cosine', 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.12722447692966574, 'batch_size': 16, 'warmup_ratio': 0.11482288126171405}. Best is trial 0 with value: 1.0179308652877808.
Trial 5 finished with value: 1.1971790790557861 and parameters: {'learning_rate': 2.0968284273613455e-05, 'lr_scheduler': 'linear', 'lora_r': 16, 'lora_alpha': 8, 'lora_dropout': 0.08251833220267471, 'batch_size': 16, 'warmup_ratio': 0.08666579101943392}. Best is trial 0 with value: 1.0179308652877808.
Trial 6 finished with value: 1.1143096685409546 and parameters: {'learning_rate': 9.37002659609628e-06, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 8, 'lora_dropout': 0.053142918568673425, 'batch_size': 4, 'warmup_ratio': 0.13890797687113116}. Best is trial 0 with value: 1.0179308652877808.
Trial 7 finished with value: 1.2435815334320068 and parameters: {'learning_rate': 1.1122221025856185e-05, 'lr_scheduler': 'cosine', 'lora_r': 16, 'lora_alpha': 8, 'lora_dropout': 0.13714605901877175, 'batch_size': 16, 'warmup_ratio': 0.09472106902987808}. Best is trial 0 with value: 1.0179308652877808.
Trial 8 finished with value: 1.184023141860962 and parameters: {'learning_rate': 2.325872387775092e-05, 'lr_scheduler': 'linear', 'lora_r': 32, 'lora_alpha': 8, 'lora_dropout': 0.0917411003148779, 'batch_size': 16, 'warmup_ratio': 0.1431491644695023}. Best is trial 0 with value: 1.0179308652877808.
Trial 9 finished with value: 1.0438872575759888 and parameters: {'learning_rate': 1.2263616915515364e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 8, 'lora_dropout': 0.053688694735453284, 'batch_size': 4, 'warmup_ratio': 0.06343757570839337}. Best is trial 0 with value: 1.0179308652877808.
Trial 10 finished with value: 0.8273223042488098 and parameters: {'learning_rate': 1.9263960198528424e-05, 'lr_scheduler': 'linear', 'lora_r': 8, 'lora_alpha': 8, 'lora_dropout': 0.06262199042819183, 'batch_size': 4, 'warmup_ratio': 0.0332524854769901}. Best is trial 10 with value: 0.8273223042488098.
